"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.0099999999999998","Area Redevelopment","QM","Supplies & Materials","10 420","0","559,19","559,19"
"2 016","GNFD","General Fund","0001EAD","Mgmt Services - Ethics and Diversity","5.3","Ethics and Diversity","PS","Personnel Services","239 865","0","91 142,72","91 142,72"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.26","Police Investigation of Vice Related Crimes","RE","Reimbursements","(26 000)","0","(16 725)","(16 725)"
"2 017","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.03","Cultural Services Contracts","RE","Reimbursements","(1 530 267)","0","(600)","(600)"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.24","Wastewater Collection","RC","Capital Outlay","532 500","0","445 530,8","445 530,8"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","1.28","Police Legal Liaison","QV","Contractual & Other Services","92 841","0","79 072,75","79 072,75"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.24","Police Field Patrol","RE","Reimbursements","0","0","(2 429 330,6)","(2 429 330,6)"
"2 017","GNFD","General Fund","0001TWM","Trinity Watershed Management GF","2.4900000000000002","Trinity River Corridor Operations","RC","Capital Outlay","0","0","10 031,04","10 031,04"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.2","Residential Refuse Collection","TR","Transfers Out","900 516","0","115,61","115,61"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.1499999999999999","Juvenile Case Managers/First Offender Program","QV","Contractual & Other Services","0","0","0","0"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","5.25","DFW International Airport Legal Counsel","QV","Contractual & Other Services","0","0","705","705"
"2 017","GNFD","General Fund","0001CVS","Civil Service GF","5.04","Analysis/Development and Validation","RE","Reimbursements","0","0","(1 002,28)","(1 002,28)"
"2 016","GNFD","General Fund","0001HOU","Housing GF","3.09","Comprehensive Homeless Outreach","QV","Contractual & Other Services","5 735 120","0","5 945 573,59","5 945 573,59"
"2 017","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.1","Dallas Convention Center","TR","Transfers Out","13 677 541","0","1 445 542,64","1 445 542,64"
"2 016","GNFD","General Fund","0001SEC","City Secretary's Office GF","5.5","Records Management","QV","Contractual & Other Services","324 263","0","180 996,88","180 996,88"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.54","Water Utilities Capital Program Management","QV","Contractual & Other Services","1 921 681","0","1 582 478,77","1 582 478,77"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.D","City Fleet Asset Management","QV","Contractual & Other Services","1 329 937","0","1 269 283,4","1 269 283,4"
"2 017","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.0199999999999996","City-Owned Cultural Venues","WB","Debt Svc-Interest On Bonds","0","0","23 345,54","23 345,54"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.27","Mobility Planning","PS","Personnel Services","710 017","0","278 741,36","278 741,36"
"2 016","GNFD","General Fund","0001OFS","Non-Departmental","5.46","Non-Departmental","PS","Personnel Services","600 000","0","489 100,96","489 100,96"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.4500000000000002","Subdivision Plat Review","QV","Contractual & Other Services","118 256","0","28 910,22","28 910,22"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","3.06","Code Litigation","QV","Contractual & Other Services","126 416","0","103 640,75","103 640,75"
"2 017","GNFD","General Fund","0001ADM","Mgmt Services - Admin","5.01","311 Customer Service Center","RE","Reimbursements","(299 179)","0","(299 179)","(299 179)"
"2 017","GNFD","General Fund","0001POM","Business Development & Procurement GF","2.5099999999999998","Vendor Development","QM","Supplies & Materials","225","0","195","195"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.56","Street Resurfacing","PS","Personnel Services","524 585","0","102 635,49","102 635,49"
"2 016","DSGO","General Obligation Debt Service","0981BMS","Debt Service BMS","8.8800000000000008","Debt Service","QV","Contractual & Other Services","10 923 451","0","10 710 577,07","10 710 577,07"
"2 017","GNFD","General Fund","0001CSC","Mgmt Services - 311 Customer Service Center","5.01","311 Customer Service Center","RE","Reimbursements","(4 129 653)","0","(2 196 416,32)","(2 196 416,32)"
"2 016","GNFD","General Fund","0001PIO","Mgmt Services - Public Information Office","5.48","Public Information Office / Communications & Broadcasting","QV","Contractual & Other Services","171 204","0","241 695,14","241 695,14"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","5.29","Energy Procurement and Monitoring","RE","Reimbursements","(159 493)","0","(442 346,44)","(442 346,44)"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.1499999999999999","Juvenile Case Managers/First Offender Program","RE","Reimbursements","(489 854)","0","(416 112,69)","(416 112,69)"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.21","Police Administrative Support","RE","Reimbursements","(325 051)","0","(365 416,08)","(365 416,08)"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.3","Police Recruiting and Personnel Service","RE","Reimbursements","0","0","(187,42)","(187,42)"
"2 017","GNFD","General Fund","0001CTJ","Judiciary GF","1.05","Court Security","QM","Supplies & Materials","6 925","0","939,77","939,77"
"2 017","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.29","Office of Special Events","QM","Supplies & Materials","9 150","0","969,08","969,08"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.26","Water Conservation","RC","Capital Outlay","25 000","0","23 211","23 211"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.41","Street Cut and Right-of-Way Management (Cut Control)","PS","Personnel Services","573 021","0","180 286,33","180 286,33"
"2 017","OTGD","Other Gifts and Donations","0398MCC","Gifts and Donations",,"NONE","QV","Contractual & Other Services","500","0","0","0"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","9.99","Department Support","RE","Reimbursements","(1 611 733)","0","(1 611 733)","(1 611 733)"
"2 016","GNFD","General Fund","0001OFS","Non-Departmental","5.35","General Obligation Commercial Paper and Master Lease Program","RC","Capital Outlay","0","0","760 136,8","760 136,8"
"2 017","GNFD","General Fund","0001DEV","Sustainable Dev and Construction GF","2.02","Authorized Hearings","QV","Contractual & Other Services","42 047","0","2 945,18","2 945,18"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.5499999999999998","Zoning & Board of Adjustment","QV","Contractual & Other Services","301 927","0","121 589,35","121 589,35"
"2 016","GNFD","General Fund","0001HOU","Housing GF","3.08","Community/Senior Services","QV","Contractual & Other Services","1 618 339","0","1 742 049,11","1 742 049,11"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.H","Environmental Services for City Fleet Operations","RE","Reimbursements","(1 145 676)","0","(162 577,64)","(162 577,64)"
"2 017","DSGO","General Obligation Debt Service","0981BMS","Debt Service BMS","8.8800000000000008","Debt Service","WA","Debt Svc-Principal","142 294 089","0","131 239 089","131 239 089"
"2 016","GNFD","General Fund","0001HOU","Housing GF","2.2400000000000002","Home Ownership/Development","QV","Contractual & Other Services","9 191","0","22 615,13","22 615,13"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.48","Traffic Safety and Congestion Management","RE","Reimbursements","(195 029)","0","(51 466,59)","(51 466,59)"
"2 016","GNFD","General Fund","0001LIB","Library GF","4.07","Library Operations & Public Service","PS","Personnel Services","17 840 715","0","16 614 079,33","16 614 079,33"
"2 016","GNFD","General Fund","0001PER","Human Resources GF","5.39","Human Resource Consulting","RE","Reimbursements","(292 724)","0","(286 366,52)","(286 366,52)"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.04","Brush/Bulk Waste Removal Services","TR","Transfers Out","863 073","0","426 507,23","426 507,23"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","9.99","Department Support","RE","Reimbursements","(591 799)","0","(961 809,8)","(961 809,8)"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.0999999999999996","Planning, Design, Construction & EMS and Environ Compliance","RE","Reimbursements","(100 000)","0","(11 256,72)","(11 256,72)"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.17","Field Inspections of Private Development Construction Sites","QM","Supplies & Materials","194 846","0","171 033,96","171 033,96"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.04","Brush/Bulk Waste Removal Services","QV","Contractual & Other Services","6 006 492","0","5 060 622,82","5 060 622,82"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","3.22","Stormwater Regulations & Enforcement","QM","Supplies & Materials","327 795","0","335 650,45","335 650,45"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.2","Residential Refuse Collection","QM","Supplies & Materials","3 343 190","0","3 878 272,73","3 878 272,73"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1299999999999999","Fire-Rescue Equipment Maintenance and Supply","QM","Supplies & Materials","3 201 780","0","1 560 086,9","1 560 086,9"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.22","Police Community Outreach","QV","Contractual & Other Services","97 916","0","126 934,82","126 934,82"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1000000000000001","Fire Dispatch and Communications","RE","Reimbursements","(3 461 000)","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.15","Engineering & Inspection Review for Private Development","WB","Debt Svc-Interest On Bonds","3 469","0","2 795,81","2 795,81"
"2 016","GNFD","General Fund","0001OEQ","Mgmt Services - Environmental Quaity","3.14","Environmental Quality","QM","Supplies & Materials","57 387","0","53 504,09","53 504,09"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","5.34","General Counsel","QV","Contractual & Other Services","633 414","0","437 017,97","437 017,97"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.12","Recreation Services","RC","Capital Outlay","100 000","0","144 756,91","144 756,91"
"2 016","GNFD","General Fund","0001CSC","Mgmt Services - 311 Customer Service Center","5.01","311 Customer Service Center","QV","Contractual & Other Services","905 418","0","946 884,64","946 884,64"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.O","Public Safety Technology Support","RC","Capital Outlay","0","0","12 600","12 600"
"2 017","GNFD","General Fund","0001STL","Street Lighting","2.42","Street Lighting","RE","Reimbursements","0","0","(106,05)","(106,05)"
"2 017","GNFD","General Fund","0001LEW","Jail Contract","1.1599999999999999","Lew Sterrett Jail Contract","QV","Contractual & Other Services","7 812 862","0","3 255 359,15","3 255 359,15"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","9.99","Department Support","RE","Reimbursements","(8 683 455)","0","(22)","(22)"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.33","Private Development Records and Archival Library","QV","Contractual & Other Services","240 367","0","23 419,81","23 419,81"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.05","Leisure Venue Management","QV","Contractual & Other Services","17 178 489","0","15 793 980,63","15 793 980,63"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1200000000000001","Fire Training and Recruitment","RE","Reimbursements","0","0","(7 300)","(7 300)"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.2799999999999998","Neighborhood Vitality","QV","Contractual & Other Services","205 125","0","375 301,51","375 301,51"
"2 017","GNFD","General Fund","0001DEV","Sustainable Dev and Construction GF","2.23","Historic Preservation","RE","Reimbursements","(167 363)","0","(18 411,87)","(18 411,87)"
"2 017","GNFD","General Fund","0001POM","Business Development & Procurement GF","5.1100000000000003","Business Inclusion & Development Compliance Monitoring","RE","Reimbursements","(77 110)","0","0","0"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.E","City Fleet Maintenance and Repair Services","RE","Reimbursements","(353 376)","0","(65 072)","(65 072)"
"2 017","GNFD","General Fund","0001MCC","Mayor and City Council GF","5.03","Administrative Support for the Mayor and City Council","RE","Reimbursements","0","0","(22 395,55)","(22 395,55)"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.2","Residential Refuse Collection","TR","Transfers Out","3 733 763","0","844 537,73","844 537,73"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.05","City Facility Services","TR","Transfers Out","40 663","0","0","0"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.23","Police Criminal Investigations","RE","Reimbursements","(236 000)","0","(328 719,83)","(328 719,83)"
"2 016","GNFD","General Fund","0001EBS","Building Services GF","9.99","Department Support","QV","Contractual & Other Services","9 907","0","71 946,91","71 946,91"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.48","Traffic Safety and Congestion Management","QV","Contractual & Other Services","952 091","0","952 096,55","952 096,55"
"2 016","INSV","Internal Service Fund","0197DSV","Radio Services DSV","5.M","Internal Radio Communication","QM","Supplies & Materials","737 436","0","900 138,29","900 138,29"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.3","Police Recruiting and Personnel Service","QM","Supplies & Materials","97 662","0","139 440,4","139 440,4"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.19","Recycling Collection and Waste Diversion","TR","Transfers Out","863 694","0","265 612,49","265 612,49"
"2 016","GNFD","General Fund","0001CCO","City Controller's Office GF","5.0199999999999996","Accounts Payable","QM","Supplies & Materials","39 164","0","39 507,68","39 507,68"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.4500000000000002","Subdivision Plat Review","PS","Personnel Services","467 076","0","190 451,19","190 451,19"
"2 017","GNFD","General Fund","0001CTJ","Judiciary GF","1.03","Civil Adjudication Court","PS","Personnel Services","398 043","0","60 699,1","60 699,1"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1299999999999999","Fire-Rescue Equipment Maintenance and Supply","PS","Personnel Services","4 131 957","0","2 062 405,31","2 062 405,31"
"2 017","GNFD","General Fund","0001PER","Human Resources GF","5.21","Compensation Analysis / Classification","PS","Personnel Services","367 509","0","173 011,81","173 011,81"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.13","Economic Development Major Projects & Other Programs","QM","Supplies & Materials","9 462","0","65,23","65,23"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.33","Special Operations","PS","Personnel Services","6 295 389","0","2 585 272,12","2 585 272,12"
"2 016","GNFD","General Fund","0001SEC","City Secretary's Office GF","5.16","City Council Support","QV","Contractual & Other Services","157 381","0","296 636,1","296 636,1"
"2 016","GNFD","General Fund","0001ADM","Mgmt Services - Admin","5.01","311 Customer Service Center","RE","Reimbursements","(286 825)","0","(282 979)","(282 979)"
"2 017","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.19","Flood Control","PS","Personnel Services","9 222 569","0","3 058 992,7","3 058 992,7"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.O","Public Safety Technology Support","QM","Supplies & Materials","94 840","0","1 750,45","1 750,45"
"2 017","GNFD","General Fund","0001EMS","Mgmt Services - EMS Compliance","5.28","EMS Compliance Program","QM","Supplies & Materials","2 200","0","394,16","394,16"
"2 017","GNFD","General Fund","0001AUD","City Auditor's Office GF","5.08","Audits, Attestations and Investigations","QM","Supplies & Materials","27 720","0","2 066,58","2 066,58"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","1.28","Police Legal Liaison","PS","Personnel Services","592 108","0","284 621,89","284 621,89"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1100000000000001","Fire Investigation & Explosive Ordnance Disposal","PS","Personnel Services","4 237 597","0","1 749 527,55","1 749 527,55"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.57","Street Forestry Division","PS","Personnel Services","231 168","0","3 631,43","3 631,43"
"2 016","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.1100000000000003","Public Art for Dallas","QV","Contractual & Other Services","188 542","0","133 549,36","133 549,36"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","3.11","Custodial Maintenance","PS","Personnel Services","2 034 733","0","863 110,25","863 110,25"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.C","Business Technology Services","PS","Personnel Services","5 762 585","0","2 332 845,92","2 332 845,92"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.2","Police Academy and In-service Training","RE","Reimbursements","0","0","(50 834,55)","(50 834,55)"
"2 017","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.1","Dallas Convention Center","RE","Reimbursements","0","0","(72 546,64)","(72 546,64)"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","5.29","Energy Procurement and Monitoring","QV","Contractual & Other Services","78 451","0","30 023,24","30 023,24"
"2 017","INSV","Internal Service Fund","026APER","City Emp Basic Life Insurance Fund","5.J","HR Benefits Administration Services","QV","Contractual & Other Services","0","0","223 873,5","223 873,5"
"2 017","GNFD","General Fund","0001ELE","Elections","5.27","Elections","QM","Supplies & Materials","5 007","0","2 517,02","2 517,02"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.22","Police Community Outreach","PS","Personnel Services","1 720 058","0","807 380,73","807 380,73"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.02","City Detention Center","PS","Personnel Services","1 449 415","0","808 863,25","808 863,25"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.38","Rights-of-Way Maintenance Contracts and Inspections Group","PS","Personnel Services","1 630 761","0","757 945,61","757 945,61"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.17","Municipal Court Services","PS","Personnel Services","5 305 682","0","2 251 138,22","2 251 138,22"
"2 016","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.0199999999999996","City-Owned Cultural Venues","QV","Contractual & Other Services","5 549 204","0","5 352 455,68","5 352 455,68"
"2 017","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.3199999999999998","Planning and Design Studio","PS","Personnel Services","1 230 782","0","383 229,88","383 229,88"
"2 017","EFOP","Enterprise Operating Fund","0164AVI","Transportation Regulation","2.36","Regulation and Enforcement of For Hire Transportation","PS","Personnel Services","846 634","0","177 714,11","177 714,11"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","3.15","Illegal Dump Team - Criminal Investigations and Arrests","PS","Personnel Services","837 090","0","362 225,06","362 225,06"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.19","Recycling Collection and Waste Diversion","PS","Personnel Services","4 110 542","0","1 913 890,67","1 913 890,67"
"2 017","GNFD","General Fund","0001OEQ","Mgmt Services - Environmental Quaity","3.14","Environmental Quality","PS","Personnel Services","2 593 594","0","1 256 173,1","1 256 173,1"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","5.17","City Facility Operation, Maintenance and Repair","PS","Personnel Services","8 651 277","0","4 445 702,11","4 445 702,11"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.3","Police Recruiting and Personnel Service","QV","Contractual & Other Services","2 735 126","0","2 700 100,94","2 700 100,94"
"2 017","GNFD","General Fund","0001PIO","Mgmt Services - Public Information Office","5.48","Public Information Office / Communications & Broadcasting","RE","Reimbursements","(322 573)","0","(3 342,94)","(3 342,94)"
"2 017","GNFD","General Fund","0001SEC","City Secretary's Office GF","5.07","Archives","QV","Contractual & Other Services","14 367","0","1 065,18","1 065,18"
"2 017","EFOP","Enterprise Operating Fund","0140OCA","Municipal Radio OCA","4.13","WRR Municipal Radio Classical Music","PS","Personnel Services","1 211 811","0","466 949,5","466 949,5"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.18","Neighborhood Nuisance Abatement","RE","Reimbursements","(893 597)","0","(113 446,38)","(113 446,38)"
"2 017","GNFD","General Fund","0001FHO","Mgmt Services - Fair Housing","5.31","Fair Housing and Human Rights Compliance","QV","Contractual & Other Services","239 117","0","9 262,64","9 262,64"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.12","Dallas Love Field","RE","Reimbursements","(6 131 526)","0","(1 401 206,5)","(1 401 206,5)"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","9.99","Department Support","QV","Contractual & Other Services","0","0","190 060,77","190 060,77"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.29","Police Operational Support","PS","Personnel Services","31 327 476","0","14 961 511,6","14 961 511,6"
"2 017","GNFD","General Fund","0001CCO","City Controller's Office GF","5.24","Deferred Compensation","RE","Reimbursements","(116 800)","0","(61 681,92)","(61 681,92)"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1000000000000001","Fire Dispatch and Communications","QV","Contractual & Other Services","7 801 695","0","7 533 165,42","7 533 165,42"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.I","Fuel Procurement and Management","PS","Personnel Services","795 531","0","367 766,28","367 766,28"
"2 017","GNFD","General Fund","0001LIB","Library GF","4.07","Library Operations & Public Service","PS","Personnel Services","18 176 908","0","8 403 610,5","8 403 610,5"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1399999999999999","Inspection and Life Safety Education","PS","Personnel Services","9 054 467","0","3 695 078,31","3 695 078,31"
"2 017","GNFD","General Fund","0001CSC","Mgmt Services - 311 Customer Service Center","5.01","311 Customer Service Center","PS","Personnel Services","5 760 532","0","2 824 921,58","2 824 921,58"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","9.99","Department Support","RE","Reimbursements","(763 906)","0","(392 464,93)","(392 464,93)"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","2.0699999999999998","Capital Facilities","RE","Reimbursements","(954 840)","0","(134 999,1)","(134 999,1)"
"2 016","GNFD","General Fund","0001HOU","Housing GF","5.37","Housing Management/Contract Support","QV","Contractual & Other Services","92 810","0","254 730,69","254 730,69"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","5.45","Litigation","QV","Contractual & Other Services","702 729","0","1 125 772,91","1 125 772,91"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.04","Business Development","PS","Personnel Services","763 301","0","251 817,64","251 817,64"
"2 017","INSV","Internal Service Fund","0197DSV","Radio Services DSV","5.M","Internal Radio Communication","PS","Personnel Services","2 333 488","0","1 077 493,95","1 077 493,95"
"2 017","GNFD","General Fund","0001BMS","Office of Financial Services GF","9.99","Department Support","PS","Personnel Services","314 945","0","126 439,02","126 439,02"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.17","Neighborhood Code Compliance Services","PS","Personnel Services","15 785 659","0","7 557 369,2","7 557 369,2"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.17","Field Inspections of Private Development Construction Sites","PS","Personnel Services","6 719 118","0","2 765 535,18","2 765 535,18"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.5299999999999998","Water Production and Delivery","RE","Reimbursements","(1 434 530)","0","(12 204,72)","(12 204,72)"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.21","Aviation Facilities - Dallas Executive Airport & Vertiport","PS","Personnel Services","1 087 659","0","251 185,03","251 185,03"
"2 017","GNFD","General Fund","0001PIO","Mgmt Services - Public Information Office","5.48","Public Information Office / Communications & Broadcasting","PS","Personnel Services","1 406 998","0","611 082,49","611 082,49"
"2 017","GNFD","General Fund","0001CPE","Mgmt Services - Strategic Initiatives","5.13","Center for Performance Excellence","PS","Personnel Services","1 191 439","0","518 770,56","518 770,56"
"2 017","GNFD","General Fund","0001POM","Business Development & Procurement GF","5.49","Purchasing/Contract Management","PS","Personnel Services","2 062 327","0","993 014,43","993 014,43"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.5499999999999998","Zoning & Board of Adjustment","PS","Personnel Services","1 538 789","0","671 815,96","671 815,96"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.24","Wastewater Collection","PS","Personnel Services","13 786 084","0","5 897 160,77","5 897 160,77"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1299999999999999","Fire-Rescue Equipment Maintenance and Supply","RE","Reimbursements","(133 017)","0","(32 223,59)","(32 223,59)"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.44","Street Repair Division - Concrete","PS","Personnel Services","8 561 642","0","3 847 080,08","3 847 080,08"
"2 017","GNFD","General Fund","0001AUD","City Auditor's Office GF","5.08","Audits, Attestations and Investigations","PS","Personnel Services","2 949 953","0","1 283 348,46","1 283 348,46"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","5.29","Energy Procurement and Monitoring","PS","Personnel Services","153 106","0","78 463,06","78 463,06"
"2 017","GNFD","General Fund","0001CCO","City Controller's Office GF","5.0199999999999996","Accounts Payable","PS","Personnel Services","868 177","0","362 689,07","362 689,07"
"2 017","GNFD","General Fund","0001EBS","Building Services GF","1.32","Security Service for City Facilities","PS","Personnel Services","3 769 864","0","1 620 518,53","1 620 518,53"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.01","Aquatic Services","RC","Capital Outlay","0","0","7 195","7 195"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.2599999999999998","Interagency and Transportation Administration","QM","Supplies & Materials","10 271","0","728,74","728,74"
"2 017","GNFD","General Fund","0001SEC","City Secretary's Office GF","5.0999999999999996","Boards and Commissions Support","QV","Contractual & Other Services","69 504","0","7 079,63","7 079,63"
"2 016","GNFD","General Fund","0001CTJ","Judiciary GF","1.04","Community Court","RE","Reimbursements","(49 957)","0","(46 862,1)","(46 862,1)"
"2 017","GNFD","General Fund","0001EMS","Mgmt Services - EMS Compliance","5.28","EMS Compliance Program","PS","Personnel Services","397 280","0","140 725,54","140 725,54"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.H","Environmental Services for City Fleet Operations","PS","Personnel Services","443 745","0","161 654,17","161 654,17"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.29","Police Operational Support","RE","Reimbursements","(9 339 000)","0","(8 831 411,3)","(8 831 411,3)"
"2 017","GNFD","General Fund","0001HOU","Housing GF","3.09","Comprehensive Homeless Outreach","PS","Personnel Services","2 217 744","0","752 077,99","752 077,99"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","9.99","Department Support","PS","Personnel Services","1 269 981","0","849 995,75","849 995,75"
"2 017","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.1","Dallas Convention Center","PS","Personnel Services","8 275 617","0","3 667 011,09","3 667 011,09"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.18","City GIS Services","QM","Supplies & Materials","25 975","0","7 872,2","7 872,2"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1399999999999999","Inspection and Life Safety Education","QV","Contractual & Other Services","207 354","0","270 261,7","270 261,7"
"2 017","GNFD","General Fund","0001HOU","Housing GF","3.09","Comprehensive Homeless Outreach","RE","Reimbursements","(244 887)","0","(179 560,31)","(179 560,31)"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.K","Internal Computer Support","PS","Personnel Services","3 198 345","0","1 380 575,9","1 380 575,9"
