"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.L","Internal Desktop Support","QV","Contractual & Other Services","5 813 722","16 504,75","6 277 716,8","6 294 221,55"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.02","City Detention Center","QM","Supplies & Materials","38 647","16 537,72","14 165,27","30 702,99"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.04","Brush/Bulk Waste Removal Services","QM","Supplies & Materials","864 143","16 997,54","313 258,78","330 256,32"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.01","Adjudication Office","QV","Contractual & Other Services","37 856","17 029,24","22 560,43","39 589,67"
"2 016","GNFD","General Fund","0001EMS","Mgmt Services - EMS Compliance","5.28","EMS Compliance Program","QV","Contractual & Other Services","150 761","17 200","63 333,14","80 533,14"
"2 016","GNFD","General Fund","0001CTS","Court and Detention Services GF","3.15","Illegal Dump Team - Criminal Investigations and Arrests","QM","Supplies & Materials","26 976","18 728,03","97 548,78","116 276,81"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.19","Flood Control","QV","Contractual & Other Services","3 761 426","18 861","6 237 742,15","6 256 603,15"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.54","Water Planning, Financial and Rate Services","QV","Contractual & Other Services","1 403 050","19 319,22","970 526,05","989 845,27"
"2 017","GNFD","General Fund","0001BMS","Office of Financial Services GF","5.36","Grant Administration","QV","Contractual & Other Services","212 738","20 521,41","110 262,81","130 784,22"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.2","Police Academy and In-service Training","QM","Supplies & Materials","650 295","21 106,2","209 102,8","230 209"
